shipment_id,product_id,shipment_date,warehouse,quantity_received,quantity_damaged,transport_cost
SHIP0442,PROD042,2025-03-18,Abuja,380,11,1710
SHIP0443,PROD043,2025-03-19,Port Harcourt,387,14,1747
SHIP0444,PROD044,2025-03-20,Kano,394,1,1784
SHIP0445,PROD045,2025-03-21,Ibadan,401,4,1821
SHIP0446,PROD046,2025-03-22,Lagos,408,7,1858
SHIP0447,PROD047,2025-03-23,Abuja,415,10,1895
SHIP0448,PROD048,2025-03-24,Port Harcourt,422,13,1932
SHIP0449,PROD049,2025-03-25,Kano,429,0,1969
SHIP0450,PROD050,2025-03-26,Ibadan,436,3,2006
SHIP0451,PROD051,2025-03-27,Lagos,443,6,2043
SHIP0452,PROD052,2025-03-28,Abuja,450,9,2080
SHIP0453,PROD053,2025-03-29,Port Harcourt,457,12,2117
SHIP0454,PROD054,2025-03-30,Kano,464,15,2154
SHIP0455,PROD055,2025-03-31,Ibadan,471,2,2191
SHIP0456,PROD056,2025-04-01,Lagos,478,5,2228
SHIP0457,PROD057,2025-04-02,Abuja,485,8,2265
SHIP0458,PROD058,2025-04-03,Port Harcourt,492,11,2302
SHIP0459,PROD059,2025-04-04,Kano,499,14,2339
SHIP0460,PROD060,2025-04-05,Ibadan,105,1,2376
SHIP0461,PROD061,2025-04-06,Lagos,112,4,2413
SHIP0462,PROD062,2025-04-07,Abuja,119,7,2450
SHIP0463,PROD063,2025-04-08,Port Harcourt,126,10,2487
SHIP0464,PROD064,2025-04-09,Kano,133,13,2524
SHIP0465,PROD065,2025-04-10,Ibadan,140,0,2561
SHIP0466,PROD066,2025-04-11,Lagos,147,3,2598
SHIP0467,PROD067,2025-04-12,Abuja,154,6,2635
SHIP0468,PROD068,2025-04-13,Port Harcourt,161,9,2672
SHIP0469,PROD069,2025-04-14,Kano,168,12,2709
SHIP0470,PROD070,2025-04-15,Ibadan,175,15,2746
SHIP0471,PROD071,2025-04-16,Lagos,182,2,2783
SHIP0472,PROD072,2025-04-17,Abuja,189,5,2820
SHIP0473,PROD073,2025-04-18,Port Harcourt,196,8,2857
SHIP0474,PROD074,2025-04-19,Kano,203,11,2894
SHIP0475,PROD075,2025-04-20,Ibadan,210,14,2931
SHIP0476,PROD076,2025-04-21,Lagos,217,1,2968
SHIP0477,PROD077,2025-04-22,Abuja,224,4,804
SHIP0478,PROD078,2025-04-23,Port Harcourt,231,7,841
SHIP0479,PROD079,2025-04-24,Kano,238,10,878
SHIP0480,PROD080,2025-04-25,Ibadan,245,13,915
SHIP0481,PROD081,2025-04-26,Lagos,252,0,952
SHIP0482,PROD082,2025-04-27,Abuja,259,3,989
SHIP0483,PROD083,2025-04-28,Port Harcourt,266,6,1026
SHIP0484,PROD084,2025-04-29,Kano,273,9,1063
SHIP0485,PROD085,2025-04-30,Ibadan,280,12,1100
SHIP0486,PROD086,2025-05-01,Lagos,287,15,1137
SHIP0487,PROD087,2025-05-02,Abuja,294,2,1174
SHIP0488,PROD088,2025-05-03,Port Harcourt,301,5,1211
SHIP0489,PROD089,2025-05-04,Kano,308,8,1248
SHIP0490,PROD090,2025-05-05,Ibadan,315,11,1285
SHIP0491,PROD091,2025-05-06,Lagos,322,14,1322
SHIP0492,PROD092,2025-05-07,Abuja,329,1,1359
SHIP0493,PROD093,2025-05-08,Port Harcourt,336,4,1396
SHIP0494,PROD094,2025-05-09,Kano,343,7,1433
SHIP0495,PROD095,2025-05-10,Ibadan,350,10,1470
SHIP0496,PROD096,2025-05-11,Lagos,357,13,1507
SHIP0497,PROD097,2025-05-12,Abuja,364,0,1544
SHIP0498,PROD098,2025-05-13,Port Harcourt,371,3,1581
SHIP0499,PROD099,2025-05-14,Kano,378,6,1618
SHIP0500,PROD100,2025-05-15,Ibadan,385,9,1655
SHIP0501,PROD001,2025-05-16,Lagos,392,12,1692
SHIP0502,PROD002,2025-05-17,Abuja,399,15,1729
SHIP0503,PROD003,2025-05-18,Port Harcourt,406,2,1766
SHIP0504,PROD004,2025-05-19,Kano,413,5,1803
SHIP0505,PROD005,2025-05-20,Ibadan,420,8,1840
SHIP0506,PROD006,2025-05-21,Lagos,427,11,1877
SHIP0507,PROD007,2025-05-22,Abuja,434,14,1914
SHIP0508,PROD008,2025-05-23,Port Harcourt,441,1,1951
SHIP0509,PROD009,2025-05-24,Kano,448,4,1988
SHIP0510,PROD010,2025-05-25,Ibadan,455,7,2025
SHIP0511,PROD011,2025-05-26,Lagos,462,10,2062
SHIP0512,PROD012,2025-05-27,Abuja,469,13,2099
SHIP0513,PROD013,2025-05-28,Port Harcourt,476,0,2136
SHIP0514,PROD014,2025-05-29,Kano,483,3,2173
SHIP0515,PROD015,2025-05-30,Ibadan,490,6,2210
SHIP0516,PROD016,2025-05-31,Lagos,497,9,2247
SHIP0517,PROD017,2025-06-01,Abuja,103,12,2284
SHIP0518,PROD018,2025-06-02,Port Harcourt,110,15,2321
SHIP0519,PROD019,2025-06-03,Kano,117,2,2358
SHIP0520,PROD020,2025-06-04,Ibadan,124,5,2395
SHIP0521,PROD021,2025-06-05,Lagos,131,8,2432
SHIP0522,PROD022,2025-06-06,Abuja,138,11,2469
SHIP0523,PROD023,2025-06-07,Port Harcourt,145,14,2506
SHIP0524,PROD024,2025-06-08,Kano,152,1,2543
SHIP0525,PROD025,2025-06-09,Ibadan,159,4,2580
SHIP0526,PROD026,2025-06-10,Lagos,166,7,2617
SHIP0527,PROD027,2025-06-11,Abuja,173,10,2654
SHIP0528,PROD028,2025-06-12,Port Harcourt,180,13,2691
SHIP0529,PROD029,2025-06-13,Kano,187,0,2728
SHIP0530,PROD030,2025-06-14,Ibadan,194,3,2765
SHIP0531,PROD031,2025-06-15,Lagos,201,6,2802
SHIP0532,PROD032,2025-06-16,Abuja,208,9,2839
SHIP0533,PROD033,2025-06-17,Port Harcourt,215,12,2876
SHIP0534,PROD034,2025-06-18,Kano,222,15,2913
SHIP0535,PROD035,2025-06-19,Ibadan,229,2,2950
SHIP0536,PROD036,2025-06-20,Lagos,236,5,2987
SHIP0537,PROD037,2025-06-21,Abuja,243,8,823
SHIP0538,PROD038,2025-06-22,Port Harcourt,250,11,860
SHIP0539,PROD039,2025-06-23,Kano,257,14,897
SHIP0540,PROD040,2025-06-24,Ibadan,264,1,934
SHIP0541,PROD041,2025-06-25,Lagos,271,4,971
SHIP0542,PROD042,2025-06-26,Abuja,278,7,1008
SHIP0543,PROD043,2025-06-27,Port Harcourt,285,10,1045
SHIP0544,PROD044,2025-06-28,Kano,292,13,1082
SHIP0545,PROD045,2025-06-29,Ibadan,299,0,1119
SHIP0546,PROD046,2025-06-30,Lagos,306,3,1156
SHIP0547,PROD047,2025-07-01,Abuja,313,6,1193
SHIP0548,PROD048,2025-07-02,Port Harcourt,320,9,1230
SHIP0549,PROD049,2025-07-03,Kano,327,12,1267
SHIP0550,PROD050,2025-07-04,Ibadan,334,15,1304
SHIP0551,PROD051,2025-07-05,Lagos,341,2,1341
SHIP0552,PROD052,2025-07-06,Abuja,348,5,1378
SHIP0553,PROD053,2025-07-07,Port Harcourt,355,8,1415
SHIP0554,PROD054,2025-07-08,Kano,362,11,1452
SHIP0555,PROD055,2025-07-09,Ibadan,369,14,1489
SHIP0556,PROD056,2025-07-10,Lagos,376,1,1526
SHIP0557,PROD057,2025-07-11,Abuja,383,4,1563
SHIP0558,PROD058,2025-07-12,Port Harcourt,390,7,1600
SHIP0559,PROD059,2025-07-13,Kano,397,10,1637
SHIP0560,PROD060,2025-07-14,Ibadan,404,13,1674
SHIP0561,PROD061,2025-07-15,Lagos,411,0,1711
SHIP0562,PROD062,2025-07-16,Abuja,418,3,1748
SHIP0563,PROD063,2025-07-17,Port Harcourt,425,6,1785
SHIP0564,PROD064,2025-07-18,Kano,432,9,1822
SHIP0565,PROD065,2025-07-19,Ibadan,439,12,1859
SHIP0566,PROD066,2025-07-20,Lagos,446,15,1896
SHIP0567,PROD067,2025-07-21,Abuja,453,2,1933
SHIP0568,PROD068,2025-07-22,Port Harcourt,460,5,1970
SHIP0569,PROD069,2025-07-23,Kano,467,8,2007
SHIP0570,PROD070,2025-07-24,Ibadan,474,11,2044
SHIP0571,PROD071,2025-07-25,Lagos,481,14,2081
SHIP0572,PROD072,2025-07-26,Abuja,488,1,2118
SHIP0573,PROD073,2025-07-27,Port Harcourt,495,4,2155
SHIP0574,PROD074,2025-07-28,Kano,101,7,2192
SHIP0575,PROD075,2025-07-29,Ibadan,108,10,2229
SHIP0576,PROD076,2025-07-30,Lagos,115,13,2266
SHIP0577,PROD077,2025-07-31,Abuja,122,0,2303
SHIP0578,PROD078,2025-08-01,Port Harcourt,129,3,2340
SHIP0579,PROD079,2025-08-02,Kano,136,6,2377
SHIP0580,PROD080,2025-08-03,Ibadan,143,9,2414
SHIP0581,PROD081,2025-08-04,Lagos,150,12,2451
SHIP0582,PROD082,2025-08-05,Abuja,157,15,2488
SHIP0583,PROD083,2025-08-06,Port Harcourt,164,2,2525
SHIP0584,PROD084,2025-08-07,Kano,171,5,2562
SHIP0585,PROD085,2025-08-08,Ibadan,178,8,2599
SHIP0586,PROD086,2025-08-09,Lagos,185,11,2636
SHIP0587,PROD087,2025-08-10,Abuja,192,14,2673
SHIP0588,PROD088,2025-08-11,Port Harcourt,199,1,2710
SHIP0589,PROD089,2025-08-12,Kano,206,4,2747
SHIP0590,PROD090,2025-08-13,Ibadan,213,7,2784
SHIP0591,PROD091,2025-08-14,Lagos,220,10,2821
SHIP0592,PROD092,2025-08-15,Abuja,227,13,2858
SHIP0593,PROD093,2025-08-16,Port Harcourt,234,0,2895
SHIP0594,PROD094,2025-08-17,Kano,241,3,2932
SHIP0595,PROD095,2025-08-18,Ibadan,248,6,2969
SHIP0596,PROD096,2025-08-19,Lagos,255,9,805
SHIP0597,PROD097,2025-08-20,Abuja,262,12,842
SHIP0598,PROD098,2025-08-21,Port Harcourt,269,15,879
SHIP0599,PROD099,2025-08-22,Kano,276,2,916
SHIP0600,PROD100,2025-08-23,Ibadan,283,5,953
SHIP0601,PROD001,2025-08-24,Lagos,290,8,990
SHIP0602,PROD002,2025-08-25,Abuja,297,11,1027
SHIP0603,PROD003,2025-08-26,Port Harcourt,304,14,1064
SHIP0604,PROD004,2025-08-27,Kano,311,1,1101
SHIP0605,PROD005,2025-08-28,Ibadan,318,4,1138
SHIP0606,PROD006,2025-08-29,Lagos,325,7,1175
SHIP0607,PROD007,2025-08-30,Abuja,332,10,1212
SHIP0608,PROD008,2025-08-31,Port Harcourt,339,13,1249
SHIP0609,PROD009,2025-09-01,Kano,346,0,1286
SHIP0610,PROD010,2025-09-02,Ibadan,353,3,1323
SHIP0611,PROD011,2025-09-03,Lagos,360,6,1360
SHIP0612,PROD012,2025-09-04,Abuja,367,9,1397
SHIP0613,PROD013,2025-09-05,Port Harcourt,374,12,1434
SHIP0614,PROD014,2025-09-06,Kano,381,15,1471
SHIP0615,PROD015,2025-09-07,Ibadan,388,2,1508
SHIP0616,PROD016,2025-09-08,Lagos,395,5,1545
SHIP0617,PROD017,2025-09-09,Abuja,402,8,1582
SHIP0618,PROD018,2025-09-10,Port Harcourt,409,11,1619
SHIP0619,PROD019,2025-09-11,Kano,416,14,1656
SHIP0620,PROD020,2025-09-12,Ibadan,423,1,1693
SHIP0621,PROD021,2025-09-13,Lagos,430,4,1730
SHIP0622,PROD022,2025-09-14,Abuja,437,7,1767
SHIP0623,PROD023,2025-09-15,Port Harcourt,444,10,1804
SHIP0624,PROD024,2025-09-16,Kano,451,13,1841
SHIP0625,PROD025,2025-09-17,Ibadan,458,0,1878
SHIP0626,PROD026,2025-09-18,Lagos,465,3,1915
SHIP0627,PROD027,2025-09-19,Abuja,472,6,1952
SHIP0628,PROD028,2025-09-20,Port Harcourt,479,9,1989
SHIP0629,PROD029,2025-09-21,Kano,486,12,2026
SHIP0630,PROD030,2025-09-22,Ibadan,493,15,2063
SHIP0631,PROD031,2025-09-23,Lagos,500,2,2100
SHIP0632,PROD032,2025-09-24,Abuja,106,5,2137
SHIP0633,PROD033,2025-09-25,Port Harcourt,113,8,2174
SHIP0634,PROD034,2025-09-26,Kano,120,11,2211
SHIP0635,PROD035,2025-09-27,Ibadan,127,14,2248
SHIP0636,PROD036,2025-09-28,Lagos,134,1,2285
SHIP0637,PROD037,2025-09-29,Abuja,141,4,2322
SHIP0638,PROD038,2025-09-30,Port Harcourt,148,7,2359
SHIP0639,PROD039,2025-10-01,Kano,155,10,2396
SHIP0640,PROD040,2025-10-02,Ibadan,162,13,2433
SHIP0641,PROD041,2025-10-03,Lagos,169,0,2470
SHIP0642,PROD042,2025-10-04,Abuja,176,3,2507
SHIP0643,PROD043,2025-10-05,Port Harcourt,183,6,2544
SHIP0644,PROD044,2025-10-06,Kano,190,9,2581
SHIP0645,PROD045,2025-10-07,Ibadan,197,12,2618
SHIP0646,PROD046,2025-10-08,Lagos,204,15,2655
SHIP0647,PROD047,2025-10-09,Abuja,211,2,2692
SHIP0648,PROD048,2025-10-10,Port Harcourt,218,5,2729
SHIP0649,PROD049,2025-10-11,Kano,225,8,2766
SHIP0650,PROD050,2025-10-12,Ibadan,232,11,2803
SHIP0651,PROD051,2025-10-13,Lagos,239,14,2840
SHIP0652,PROD052,2025-10-14,Abuja,246,1,2877
SHIP0653,PROD053,2025-10-15,Port Harcourt,253,4,2914
SHIP0654,PROD054,2025-10-16,Kano,260,7,2951
SHIP0655,PROD055,2025-10-17,Ibadan,267,10,2988
SHIP0656,PROD056,2025-10-18,Lagos,274,13,824
SHIP0657,PROD057,2025-10-19,Abuja,281,0,861
SHIP0658,PROD058,2025-10-20,Port Harcourt,288,3,898
SHIP0659,PROD059,2025-10-21,Kano,295,6,935
SHIP0660,PROD060,2025-10-22,Ibadan,302,9,972
SHIP0661,PROD061,2025-10-23,Lagos,309,12,1009
SHIP0662,PROD062,2025-10-24,Abuja,316,15,1046
SHIP0663,PROD063,2025-10-25,Port Harcourt,323,2,1083
SHIP0664,PROD064,2025-10-26,Kano,330,5,1120
SHIP0665,PROD065,2025-10-27,Ibadan,337,8,1157
SHIP0666,PROD066,2025-10-28,Lagos,344,11,1194
SHIP0667,PROD067,2025-10-29,Abuja,351,14,1231
SHIP0668,PROD068,2025-10-30,Port Harcourt,358,1,1268
SHIP0669,PROD069,2025-10-31,Kano,365,4,1305
SHIP0670,PROD070,2025-11-01,Ibadan,372,7,1342
SHIP0671,PROD071,2025-11-02,Lagos,379,10,1379
SHIP0672,PROD072,2025-11-03,Abuja,386,13,1416
SHIP0673,PROD073,2025-11-04,Port Harcourt,393,0,1453
SHIP0674,PROD074,2025-11-05,Kano,400,3,1490
SHIP0675,PROD075,2025-11-06,Ibadan,407,6,1527
SHIP0676,PROD076,2025-11-07,Lagos,414,9,1564
SHIP0677,PROD077,2025-11-08,Abuja,421,12,1601
SHIP0678,PROD078,2025-11-09,Port Harcourt,428,15,1638
SHIP0679,PROD079,2025-11-10,Kano,435,2,1675
SHIP0680,PROD080,2025-11-11,Ibadan,442,5,1712
SHIP0681,PROD081,2025-11-12,Lagos,449,8,1749
SHIP0682,PROD082,2025-11-13,Abuja,456,11,1786
SHIP0683,PROD083,2025-11-14,Port Harcourt,463,14,1823
SHIP0684,PROD084,2025-11-15,Kano,470,1,1860
SHIP0685,PROD085,2025-11-16,Ibadan,477,4,1897
SHIP0686,PROD086,2025-11-17,Lagos,484,7,1934
SHIP0687,PROD087,2025-11-18,Abuja,491,10,1971
SHIP0688,PROD088,2025-11-19,Port Harcourt,498,13,2008
SHIP0689,PROD089,2025-11-20,Kano,104,0,2045
SHIP0690,PROD090,2025-11-21,Ibadan,111,3,2082
SHIP0691,PROD091,2025-11-22,Lagos,118,6,2119
SHIP0692,PROD092,2025-11-23,Abuja,125,9,2156
SHIP0693,PROD093,2025-11-24,Port Harcourt,132,12,2193
SHIP0694,PROD094,2025-11-25,Kano,139,15,2230
SHIP0695,PROD095,2025-11-26,Ibadan,146,2,2267
SHIP0696,PROD096,2025-11-27,Lagos,153,5,2304
SHIP0697,PROD097,2025-11-28,Abuja,160,8,2341
SHIP0698,PROD098,2025-11-29,Port Harcourt,167,11,2378
SHIP0699,PROD099,2025-11-30,Kano,174,14,2415
SHIP0700,PROD100,2025-12-01,Ibadan,181,1,2452
SHIP0701,PROD001,2025-12-02,Lagos,188,4,2489
SHIP0702,PROD002,2025-12-03,Abuja,195,7,2526
SHIP0703,PROD003,2025-12-04,Port Harcourt,202,10,2563
SHIP0704,PROD004,2025-12-05,Kano,209,13,2600
SHIP0705,PROD005,2025-12-06,Ibadan,216,0,2637
SHIP0706,PROD006,2025-12-07,Lagos,223,3,2674
SHIP0707,PROD007,2025-12-08,Abuja,230,6,2711
SHIP0708,PROD008,2025-12-09,Port Harcourt,237,9,2748
SHIP0709,PROD009,2025-12-10,Kano,244,12,2785
SHIP0710,PROD010,2025-12-11,Ibadan,251,15,2822
SHIP0711,PROD011,2025-12-12,Lagos,258,2,2859
SHIP0712,PROD012,2025-12-13,Abuja,265,5,2896
SHIP0713,PROD013,2025-12-14,Port Harcourt,272,8,2933
SHIP0714,PROD014,2025-12-15,Kano,279,11,2970
SHIP0715,PROD015,2025-12-16,Ibadan,286,14,806
SHIP0716,PROD016,2025-12-17,Lagos,293,1,843
SHIP0717,PROD017,2025-12-18,Abuja,300,4,880
SHIP0718,PROD018,2025-12-19,Port Harcourt,307,7,917
SHIP0719,PROD019,2025-12-20,Kano,314,10,954
SHIP0720,PROD020,2025-12-21,Ibadan,321,13,991
SHIP0721,PROD021,2025-12-22,Lagos,328,0,1028
SHIP0722,PROD022,2025-12-23,Abuja,335,3,1065
SHIP0723,PROD023,2025-12-24,Port Harcourt,342,6,1102
SHIP0724,PROD024,2025-12-25,Kano,349,9,1139
SHIP0725,PROD025,2025-12-26,Ibadan,356,12,1176
SHIP0726,PROD026,2025-12-27,Lagos,363,15,1213
SHIP0727,PROD027,2025-12-28,Abuja,370,2,1250
SHIP0728,PROD028,2025-12-29,Port Harcourt,377,5,1287
SHIP0729,PROD029,2025-12-30,Kano,384,8,1324
SHIP0730,PROD030,2025-12-31,Ibadan,391,11,1361
SHIP0731,PROD031,2025-01-01,Lagos,398,14,1398
SHIP0732,PROD032,2025-01-02,Abuja,405,1,1435
SHIP0733,PROD033,2025-01-03,Port Harcourt,412,4,1472
SHIP0734,PROD034,2025-01-04,Kano,419,7,1509
SHIP0735,PROD035,2025-01-05,Ibadan,426,10,1546
SHIP0736,PROD036,2025-01-06,Lagos,433,13,1583
SHIP0737,PROD037,2025-01-07,Abuja,440,0,1620
SHIP0738,PROD038,2025-01-08,Port Harcourt,447,3,1657
SHIP0739,PROD039,2025-01-09,Kano,454,6,1694
SHIP0740,PROD040,2025-01-10,Ibadan,461,9,1731
SHIP0741,PROD041,2025-01-11,Lagos,468,12,1768
SHIP0742,PROD042,2025-01-12,Abuja,475,15,1805
SHIP0743,PROD043,2025-01-13,Port Harcourt,482,2,1842
SHIP0744,PROD044,2025-01-14,Kano,489,5,1879
SHIP0745,PROD045,2025-01-15,Ibadan,496,8,1916
SHIP0746,PROD046,2025-01-16,Lagos,102,11,1953
SHIP0747,PROD047,2025-01-17,Abuja,109,14,1990
SHIP0748,PROD048,2025-01-18,Port Harcourt,116,1,2027
SHIP0749,PROD049,2025-01-19,Kano,123,4,2064
SHIP0750,PROD050,2025-01-20,Ibadan,130,7,2101
SHIP0751,PROD051,2025-01-21,Lagos,137,10,2138
SHIP0752,PROD052,2025-01-22,Abuja,144,13,2175
SHIP0753,PROD053,2025-01-23,Port Harcourt,151,0,2212
SHIP0754,PROD054,2025-01-24,Kano,158,3,2249
SHIP0755,PROD055,2025-01-25,Ibadan,165,6,2286
SHIP0756,PROD056,2025-01-26,Lagos,172,9,2323
SHIP0757,PROD057,2025-01-27,Abuja,179,12,2360
SHIP0758,PROD058,2025-01-28,Port Harcourt,186,15,2397
SHIP0759,PROD059,2025-01-29,Kano,193,2,2434
SHIP0760,PROD060,2025-01-30,Ibadan,200,5,2471
SHIP0761,PROD061,2025-01-31,Lagos,207,8,2508
SHIP0762,PROD062,2025-02-01,Abuja,214,11,2545
SHIP0763,PROD063,2025-02-02,Port Harcourt,221,14,2582
SHIP0764,PROD064,2025-02-03,Kano,228,1,2619
SHIP0765,PROD065,2025-02-04,Ibadan,235,4,2656
SHIP0766,PROD066,2025-02-05,Lagos,242,7,2693
SHIP0767,PROD067,2025-02-06,Abuja,249,10,2730
SHIP0768,PROD068,2025-02-07,Port Harcourt,256,13,2767
SHIP0769,PROD069,2025-02-08,Kano,263,0,2804
SHIP0770,PROD070,2025-02-09,Ibadan,270,3,2841
SHIP0771,PROD071,2025-02-10,Lagos,277,6,2878
SHIP0772,PROD072,2025-02-11,Abuja,284,9,2915
SHIP0773,PROD073,2025-02-12,Port Harcourt,291,12,2952
SHIP0774,PROD074,2025-02-13,Kano,298,15,2989
SHIP0775,PROD075,2025-02-14,Ibadan,305,2,825
SHIP0776,PROD076,2025-02-15,Lagos,312,5,862
SHIP0777,PROD077,2025-02-16,Abuja,319,8,899
SHIP0778,PROD078,2025-02-17,Port Harcourt,326,11,936
SHIP0779,PROD079,2025-02-18,Kano,333,14,973
SHIP0780,PROD080,2025-02-19,Ibadan,340,1,1010
SHIP0781,PROD081,2025-02-20,Lagos,347,4,1047
SHIP0782,PROD082,2025-02-21,Abuja,354,7,1084
SHIP0783,PROD083,2025-02-22,Port Harcourt,361,10,1121
SHIP0784,PROD084,2025-02-23,Kano,368,13,1158
SHIP0785,PROD085,2025-02-24,Ibadan,375,0,1195
SHIP0786,PROD086,2025-02-25,Lagos,382,3,1232
SHIP0787,PROD087,2025-02-26,Abuja,389,6,1269
SHIP0788,PROD088,2025-02-27,Port Harcourt,396,9,1306
SHIP0789,PROD089,2025-02-28,Kano,403,12,1343
SHIP0790,PROD090,2025-03-01,Ibadan,410,15,1380
SHIP0791,PROD091,2025-03-02,Lagos,417,2,1417
SHIP0792,PROD092,2025-03-03,Abuja,424,5,1454
SHIP0793,PROD093,2025-03-04,Port Harcourt,431,8,1491
SHIP0794,PROD094,2025-03-05,Kano,438,11,1528
SHIP0795,PROD095,2025-03-06,Ibadan,445,14,1565
SHIP0796,PROD096,2025-03-07,Lagos,452,1,1602
SHIP0797,PROD097,2025-03-08,Abuja,459,4,1639
SHIP0798,PROD098,2025-03-09,Port Harcourt,466,7,1676
SHIP0799,PROD099,2025-03-10,Kano,473,10,1713
SHIP0800,PROD100,2025-03-11,Ibadan,480,13,1750
SHIP0801,PROD001,2025-03-12,Lagos,487,0,1787
SHIP0802,PROD002,2025-03-13,Abuja,494,3,1824
SHIP0803,PROD003,2025-03-14,Port Harcourt,100,6,1861
SHIP0804,PROD004,2025-03-15,Kano,107,9,1898
SHIP0805,PROD005,2025-03-16,Ibadan,114,12,1935
SHIP0806,PROD006,2025-03-17,Lagos,121,15,1972
SHIP0807,PROD007,2025-03-18,Abuja,128,2,2009
SHIP0808,PROD008,2025-03-19,Port Harcourt,135,5,2046
SHIP0809,PROD009,2025-03-20,Kano,142,8,2083
SHIP0810,PROD010,2025-03-21,Ibadan,149,11,2120
SHIP0811,PROD011,2025-03-22,Lagos,156,14,2157
SHIP0812,PROD012,2025-03-23,Abuja,163,1,2194
SHIP0813,PROD013,2025-03-24,Port Harcourt,170,4,2231
SHIP0814,PROD014,2025-03-25,Kano,177,7,2268
SHIP0815,PROD015,2025-03-26,Ibadan,184,10,2305
SHIP0816,PROD016,2025-03-27,Lagos,191,13,2342
SHIP0817,PROD017,2025-03-28,Abuja,198,0,2379
SHIP0818,PROD018,2025-03-29,Port Harcourt,205,3,2416
SHIP0819,PROD019,2025-03-30,Kano,212,6,2453
SHIP0820,PROD020,2025-03-31,Ibadan,219,9,2490
SHIP0821,PROD021,2025-04-01,Lagos,226,12,2527
SHIP0822,PROD022,2025-04-02,Abuja,233,15,2564
SHIP0823,PROD023,2025-04-03,Port Harcourt,240,2,2601
SHIP0824,PROD024,2025-04-04,Kano,247,5,2638
SHIP0825,PROD025,2025-04-05,Ibadan,254,8,2675
SHIP0826,PROD026,2025-04-06,Lagos,261,11,2712
SHIP0827,PROD027,2025-04-07,Abuja,268,14,2749
SHIP0828,PROD028,2025-04-08,Port Harcourt,275,1,2786
SHIP0829,PROD029,2025-04-09,Kano,282,4,2823
SHIP0830,PROD030,2025-04-10,Ibadan,289,7,2860
SHIP0831,PROD031,2025-04-11,Lagos,296,10,2897
SHIP0832,PROD032,2025-04-12,Abuja,303,13,2934
SHIP0833,PROD033,2025-04-13,Port Harcourt,310,0,2971
SHIP0834,PROD034,2025-04-14,Kano,317,3,807
SHIP0835,PROD035,2025-04-15,Ibadan,324,6,844
SHIP0836,PROD036,2025-04-16,Lagos,331,9,881
SHIP0837,PROD037,2025-04-17,Abuja,338,12,918
SHIP0838,PROD038,2025-04-18,Port Harcourt,345,15,955
SHIP0839,PROD039,2025-04-19,Kano,352,2,992
SHIP0840,PROD040,2025-04-20,Ibadan,359,5,1029
SHIP0841,PROD041,2025-04-21,Lagos,366,8,1066
SHIP0842,PROD042,2025-04-22,Abuja,373,11,1103
SHIP0843,PROD043,2025-04-23,Port Harcourt,380,14,1140
SHIP0844,PROD044,2025-04-24,Kano,387,1,1177
SHIP0845,PROD045,2025-04-25,Ibadan,394,4,1214
SHIP0846,PROD046,2025-04-26,Lagos,401,7,1251
SHIP0847,PROD047,2025-04-27,Abuja,408,10,1288
SHIP0848,PROD048,2025-04-28,Port Harcourt,415,13,1325
SHIP0849,PROD049,2025-04-29,Kano,422,0,1362
SHIP0850,PROD050,2025-04-30,Ibadan,429,3,1399
SHIP0851,PROD051,2025-05-01,Lagos,436,6,1436
SHIP0852,PROD052,2025-05-02,Abuja,443,9,1473
SHIP0853,PROD053,2025-05-03,Port Harcourt,450,12,1510
SHIP0854,PROD054,2025-05-04,Kano,457,15,1547
SHIP0855,PROD055,2025-05-05,Ibadan,464,2,1584
SHIP0856,PROD056,2025-05-06,Lagos,471,5,1621
SHIP0857,PROD057,2025-05-07,Abuja,478,8,1658
SHIP0858,PROD058,2025-05-08,Port Harcourt,485,11,1695
SHIP0859,PROD059,2025-05-09,Kano,492,14,1732
SHIP0860,PROD060,2025-05-10,Ibadan,499,1,1769
SHIP0861,PROD061,2025-05-11,Lagos,105,4,1806
SHIP0862,PROD062,2025-05-12,Abuja,112,7,1843
SHIP0863,PROD063,2025-05-13,Port Harcourt,119,10,1880
SHIP0864,PROD064,2025-05-14,Kano,126,13,1917
SHIP0865,PROD065,2025-05-15,Ibadan,133,0,1954
SHIP0866,PROD066,2025-05-16,Lagos,140,3,1991
SHIP0867,PROD067,2025-05-17,Abuja,147,6,2028
SHIP0868,PROD068,2025-05-18,Port Harcourt,154,9,2065
SHIP0869,PROD069,2025-05-19,Kano,161,12,2102
SHIP0870,PROD070,2025-05-20,Ibadan,168,15,2139
SHIP0871,PROD071,2025-05-21,Lagos,175,2,2176
SHIP0872,PROD072,2025-05-22,Abuja,182,5,2213
SHIP0873,PROD073,2025-05-23,Port Harcourt,189,8,2250
SHIP0874,PROD074,2025-05-24,Kano,196,11,2287
SHIP0875,PROD075,2025-05-25,Ibadan,203,14,2324
SHIP0876,PROD076,2025-05-26,Lagos,210,1,2361
SHIP0877,PROD077,2025-05-27,Abuja,217,4,2398
SHIP0878,PROD078,2025-05-28,Port Harcourt,224,7,2435
SHIP0879,PROD079,2025-05-29,Kano,231,10,2472
SHIP0880,PROD080,2025-05-30,Ibadan,238,13,2509
SHIP0881,PROD081,2025-05-31,Lagos,245,0,2546
SHIP0882,PROD082,2025-06-01,Abuja,252,3,2583
SHIP0883,PROD083,2025-06-02,Port Harcourt,259,6,2620
